Source, Trig Date ,    Trig Time   ,Origin Date,   Origin Time  ,    Profile  , Status, Cluster,      Y     ,      X     ,    Depth   , MomMag,   PGV  , Stage, P S/N  , S S/N  , Quality,   Error  , Location   , rms Noise
3242,   6/4/2024, 19:50:33.051500,   6/4/2024, 19:50:32.830742,      Primary,2,0,-2010,2180,8090,0.51,187.75,9,8.2,18.6,2.2,1000000,     L2 msmx,8.6
3249,   6/4/2024, 19:50:51.756500,   6/4/2024, 19:50:51.605865,      Primary,2,0,-2190,2430,7060,-0.05,97.94,9,6,16.8,1.5,1000000,     L2 msmx,6.83
3344,   6/4/2024, 19:54:07.525500,   6/4/2024, 19:54:07.311219,      Primary,2,0,-1530,2400,8160,0.7,187.75,9,55.2,52.7,5.2,1000000,     L2 msmx,14.09
3426,   6/4/2024, 19:56:50.424250,   6/4/2024, 19:56:50.249542,      Primary,2,0,-1470,2480,8200,0.24,158.18,9,12.2,33.3,3.5,1000000,     L2 msmx,9.48
3485,   6/4/2024, 19:58:42.625500,   6/4/2024, 19:58:42.596199,      Primary,2,0,-2200,2340,7450,-0.01,126.83,9,5.7,14.8,1.8,1000000,     L2 msmx,6.29
3535,   6/4/2024, 20:00:15.510250,   6/4/2024, 20:00:15.314577,      Primary,2,0,-1610,2350,7390,-0.39,29.27,9,4.2,6.4,1.8,1000000,     L2 msmx,8
3541,   6/4/2024, 20:00:29.110500,   6/4/2024, 20:00:28.909058,      Primary,2,0,-1710,2210,7840,0.2,187.75,9,6.8,14.6,2.2,1000000,     L2 msmx,9.18
3543,   6/4/2024, 20:00:33.425250,   6/4/2024, 20:00:33.220909,      Primary,2,0,-1730,2230,7810,0.35,187.75,9,15.7,24.7,4.2,1000000,     L2 msmx,14.68
3616,   6/4/2024, 20:02:58.379500,   6/4/2024, 20:02:58.398300,      Primary,2,0,-2170,2400,7320,-0.13,79.6,9,5.7,16.9,1.8,1000000,     L2 msmx,6.46
3650,   6/4/2024, 20:04:07.154750,   6/4/2024, 20:04:06.941316,      Primary,2,0,-1490,2000,8380,-0.21,38.15,9,5.4,17.9,1.5,1000000,     L2 msmx,6.65
3786,   6/4/2024, 20:08:45.866000,   6/4/2024, 20:08:45.660984,      Primary,2,0,-1570,2130,8120,-0.32,30.43,9,6.8,9.7,1.6,1000000,     L2 msmx,7.37
3818,   6/4/2024, 20:09:48.370250,   6/4/2024, 20:09:48.595928,      Primary,2,0,-2090,2290,7590,0.16,174.91,9,7.7,22.3,2.9,1000000,     L2 msmx,6.97
