Source, Trig Date ,    Trig Time   ,Origin Date,   Origin Time  ,    Profile  , Status, Cluster,      Y     ,      X     ,    Depth   , MomMag,   PGV  , Stage, P S/N  , S S/N  , Quality,   Error  , Location   , rms Noise,Matched File
4438,   7/4/2024, 10:54:36.767000,   7/4/2024, 10:54:36.537231,      Primary,2,0,-2460,2290,8140,0.29,506.0,25,24.2,40.4,1.8,1000000,     L2 msmx,29.5,16B_StrainRate_20240407T165428+0000_37438.h5
4479,   7/4/2024, 10:56:07.460000,   7/4/2024, 10:56:07.587088,      Primary,2,0,-2200,2250,7650,-0.03,94.64,25,9.8,28.2,1.8,1000000,     L2 msmx,8.26,16B_StrainRate_20240407T165604+0000_37446.h5
4593,   7/4/2024, 11:00:06.766750,   7/4/2024, 11:00:06.783234,      Primary,2,0,700,3540,8550,0.03,589.92,25,25.5,24.8,1.8,1000000,     L2 msmx,40.5,16B_StrainRate_20240407T170004+0000_37466.h5
4637,   7/4/2024, 11:01:44.960500,   7/4/2024, 11:01:45.107426,      Primary,2,0,-380,2120,8200,0.17,517.33,25,14.6,33.2,3.6,1000000,     L2 msmx,15.37,16B_StrainRate_20240407T170140+0000_37474.h5
4782,   7/4/2024, 11:06:37.392500,   7/4/2024, 11:06:37.598469,      Primary,2,0,-2160,2270,7770,-0.02,104.82,25,5.6,12.4,2.2,1000000,     L2 msmx,8.33,16B_StrainRate_20240407T170628+0000_37498.h5
4796,   7/4/2024, 11:07:03.660250,   7/4/2024, 11:07:03.476907,      Primary,2,0,150,3250,8440,-0.12,625.76,25,15.2,37.9,1.8,1000000,     L2 msmx,28.36,16B_StrainRate_20240407T170652+0000_37500.h5
4976,   7/4/2024, 11:12:58.961250,   7/4/2024, 11:12:58.813721,      Primary,2,0,-2130,2190,7830,-0.36,369.36,25,4.9,8.6,1.8,1000000,     L2 msmx,9.79,16B_StrainRate_20240407T171252+0000_37530.h5
5668,   7/4/2024, 11:36:21.864000,   7/4/2024, 11:36:21.651297,      Primary,2,0,-2050,2210,7910,-0.23,634.36,25,4.4,7.9,1.9,1000000,     L2 msmx,44.45,16B_StrainRate_20240407T173616+0000_37647.h5
5728,   7/4/2024, 11:38:28.523250,   7/4/2024, 11:38:28.306736,      Primary,2,0,-2200,2310,7870,-0.33,661.61,25,15.3,42.6,1.6,1000000,     L2 msmx,43.67,16B_StrainRate_20240407T173828+0000_37658.h5
5766,   7/4/2024, 11:39:49.171250,   7/4/2024, 11:39:48.976238,      Primary,2,0,-2020,2160,8120,-0.21,56.1,25,211.4,35.6,1.6,1000000,     L2 msmx,8.54,16B_StrainRate_20240407T173940+0000_37664.h5
5988,   7/4/2024, 11:48:06.450000,   7/4/2024, 11:48:06.226213,      Primary,2,0,-330,2160,8210,-0.1,44.65,25,18.4,35.7,2.8,1000000,     L2 msmx,9.54,16B_StrainRate_20240407T174804+0000_37706.h5
5998,   7/4/2024, 11:48:30.289250,   7/4/2024, 11:48:30.112619,      Primary,2,0,-2130,2270,7850,-0.01,108.76,25,19.8,44.8,2.1,1000000,     L2 msmx,8.51,16B_StrainRate_20240407T174828+0000_37708.h5
6051,   7/4/2024, 11:50:19.739750,   7/4/2024, 11:50:19.524364,      Primary,2,0,-2230,2320,7920,-0.27,85.27,25,5.4,9.9,1.7,1000000,     L2 msmx,8.9,16B_StrainRate_20240407T175016+0000_37717.h5
