Source, Trig Date ,    Trig Time   ,Origin Date,   Origin Time  ,    Profile  , Status, Cluster,      Y     ,      X     ,    Depth   , MomMag,   PGV  , Stage, P S/N  , S S/N  , Quality,   Error  , Location   , rms Noise,Matched File
1123.0,   5/4/2024, 23:03:02.542000,   5/4/2024, 23:03:02.336948,      Primary,2.0,0.0,-1640.0,2500.0,7700.0,-0.18,116.51,8.0,5.1,9.3,3.2,1000000.0,     L2 msmx,19.04,
1133.0,   5/4/2024, 23:03:28.843000,   5/4/2024, 23:03:28.655552,      Primary,2.0,0.0,-50.0,3210.0,7190.0,-0.2,61.23,8.0,4.4,7.6,2.0,1000000.0,     L2 msmx,9.23,
1140.0,   5/4/2024, 23:03:47.025750,   5/4/2024, 23:03:46.851334,      Primary,2.0,0.0,-650.0,3110.0,7150.0,0.48,187.75,8.0,12.9,15.3,2.6,1000000.0,     L2 msmx,23.27,
1142.0,   5/4/2024, 23:03:52.075000,   5/4/2024, 23:03:51.813160,      Primary,2.0,0.0,-580.0,3140.0,7180.0,0.0,148.14,8.0,5.6,8.3,2.0,1000000.0,     L2 msmx,30.86,
1151.0,   5/4/2024, 23:04:14.716250,   5/4/2024, 23:04:14.533419,      Primary,2.0,0.0,-260.0,3110.0,7430.0,-0.07,75.22,8.0,6.0,13.9,1.9,1000000.0,     L2 msmx,8.64,
1201.0,   5/4/2024, 23:06:12.429500,   5/4/2024, 23:06:12.254022,      Primary,2.0,0.0,-1100.0,2430.0,6990.0,0.04,187.75,8.0,7.6,21.1,2.3,1000000.0,     L2 msmx,7.96,
1203.0,   5/4/2024, 23:06:20.264250,   5/4/2024, 23:06:20.084772,      Primary,2.0,0.0,-60.0,3230.0,7530.0,-0.05,109.18,8.0,8.3,11.5,1.8,1000000.0,     L2 msmx,9.08,
1220.0,   5/4/2024, 23:06:58.581750,   5/4/2024, 23:06:58.400791,      Primary,2.0,0.0,-400.0,3180.0,7270.0,-0.19,86.75,8.0,7.2,12.1,2.0,1000000.0,     L2 msmx,7.99,
1268.0,   5/4/2024, 23:08:57.712250,   5/4/2024, 23:08:57.530193,      Primary,2.0,0.0,-600.0,3120.0,7320.0,0.01,117.79,8.0,8.2,15.8,2.4,1000000.0,     L2 msmx,8.92,
1301.0,   5/4/2024, 23:10:13.748250,   5/4/2024, 23:10:13.556530,      Primary,2.0,0.0,-240.0,3110.0,7510.0,-0.19,72.65,8.0,4.4,9.7,1.8,1000000.0,     L2 msmx,16.56,
1445.0,   5/4/2024, 23:16:05.105500,   5/4/2024, 23:16:04.922180,      Primary,2.0,0.0,-1210.0,2450.0,7100.0,-0.38,47.92,8.0,4.8,8.7,1.6,1000000.0,     L2 msmx,7.23,
