Source, Trig Date ,    Trig Time   ,Origin Date,   Origin Time  ,    Profile  , Status, Cluster,      Y     ,      X     ,    Depth   , MomMag,   PGV  , Stage, P S/N  , S S/N  , Quality,   Error  , Location   , rms Noise
4060,   6/4/2024, 14:38:50.155250,   6/4/2024, 14:38:49.952919,      Primary,2,0,-1670,2250,7590,0.3,187.75,9,15.4,48.6,2.8,1000000,     L2 msmx,9.58
4062,   6/4/2024, 14:38:57.591000,   6/4/2024, 14:38:57.439663,      Primary,2,0,-1160,2500,6390,0.25,187.75,9,8.5,21.8,3.5,1000000,     L2 msmx,12.39
4191,   6/4/2024, 14:42:56.392250,   6/4/2024, 14:42:56.162495,      Primary,2,0,-2260,2370,7620,-0.07,83.38,9,5,10.4,1.7,1000000,     L2 msmx,8.03
4196,   6/4/2024, 14:43:05.410000,   6/4/2024, 14:43:05.352202,      Primary,2,0,130,2410,8390,-0.04,88.4,9,3.5,7.3,2,1000000,     L2 msmx,8.62
4560,   6/4/2024, 14:56:18.952750,   6/4/2024, 14:56:18.703701,      Primary,2,0,-2480,2420,7900,0.58,187.75,9,13.2,24.9,1.6,1000000,     L2 msmx,10.79
4561,   6/4/2024, 14:56:20.720250,   6/4/2024, 14:56:20.372080,      Primary,2,0,-1990,2170,8110,0.06,141.82,9,4.3,6.9,2.3,1000000,     L2 msmx,20.95
4599,   6/4/2024, 14:57:34.046000,   6/4/2024, 14:57:33.903019,      Primary,2,0,-2110,2290,7630,0.51,187.75,9,10.4,23.6,4.6,1000000,     L2 msmx,8.16
4720,   6/4/2024, 15:02:39.512000,   6/4/2024, 15:02:39.333862,      Primary,2,0,-1650,2280,7580,-0.01,153.05,9,8.9,26.5,3.3,1000000,     L2 msmx,8.07
4737,   6/4/2024, 15:03:08.447500,   6/4/2024, 15:03:08.482043,      Primary,2,0,-2060,2200,7900,0.03,110.64,9,10.1,22.4,3.2,1000000,     L2 msmx,6.87
4739,   6/4/2024, 15:03:11.317000,   6/4/2024, 15:03:11.168571,      Primary,2,0,-290,2280,6510,0.71,187.75,9,21.3,48.8,5.5,1000000,     L2 msmx,18.15
4792,   6/4/2024, 15:04:48.648500,   6/4/2024, 15:04:48.452152,      Primary,2,0,-2050,2210,7890,-0.25,39.18,9,6.5,13,1.7,1000000,     L2 msmx,7.35
4934,   6/4/2024, 15:09:32.488750,   6/4/2024, 15:09:32.447216,      Primary,2,0,-1080,2490,6310,-0.01,187.75,9,16.1,31,2.2,1000000,     L2 msmx,6.76
4977,   6/4/2024, 15:11:03.150750,   6/4/2024, 15:11:02.952835,      Primary,2,0,-1660,2460,8330,0.12,172.07,9,8.3,29.4,2.2,1000000,     L2 msmx,7.98
4999,   6/4/2024, 15:11:52.446500,   6/4/2024, 15:11:52.454212,      Primary,2,0,-1820,2320,7750,-0.08,80.72,9,9.8,12.2,2.2,1000000,     L2 msmx,6.95
5092,   6/4/2024, 15:14:46.248750,   6/4/2024, 15:14:46.172462,      Primary,2,0,-2030,2310,7620,0.2,187.75,9,3.9,10.3,2.2,1000000,     L2 msmx,10.87
5113,   6/4/2024, 15:15:34.845250,   6/4/2024, 15:15:35.016514,      Primary,2,0,-2210,2360,7390,0.01,136.31,9,6.6,23.4,2.1,1000000,     L2 msmx,7
5125,   6/4/2024, 15:15:55.162500,   6/4/2024, 15:15:55.165520,      Primary,2,0,-1940,2190,7830,0.27,187.75,9,5.5,15.1,2.4,1000000,     L2 msmx,6.89
5139,   6/4/2024, 15:16:29.386000,   6/4/2024, 15:16:29.499210,      Primary,2,0,-1990,2230,7830,0.78,187.75,9,13.2,22.3,3.8,1000000,     L2 msmx,6.93
5146,   6/4/2024, 15:16:47.200000,   6/4/2024, 15:16:47.067558,      Primary,2,0,-1710,2380,6660,0.16,187.75,9,4.4,6.8,1.9,1000000,     L2 msmx,21.58
5151,   6/4/2024, 15:16:56.332000,   6/4/2024, 15:16:56.310265,      Primary,2,0,-2020,2280,7750,-0.1,70.52,9,4.3,9.3,2.3,1000000,     L2 msmx,6.71
5193,   6/4/2024, 15:18:17.532750,   6/4/2024, 15:18:17.382450,      Primary,2,0,-1620,2420,6780,0.08,187.75,9,15.2,37.4,1.9,1000000,     L2 msmx,6.81
5292,   6/4/2024, 15:21:16.230000,   6/4/2024, 15:21:16.020237,      Primary,2,0,-2090,2430,7990,0.11,177.94,9,4.7,10.8,1.6,1000000,     L2 msmx,8.61
5317,   6/4/2024, 15:22:11.152250,   6/4/2024, 15:22:11.309568,      Primary,2,0,-1870,2230,7780,-0.04,106.88,9,4.7,15.6,1.6,1000000,     L2 msmx,6.92
5438,   6/4/2024, 15:26:18.914750,   6/4/2024, 15:26:18.759418,      Primary,2,0,-2200,2410,7090,0.31,187.75,9,12.4,39.6,2.5,1000000,     L2 msmx,7.29
5480,   6/4/2024, 15:27:44.027250,   6/4/2024, 15:27:43.849804,      Primary,2,0,-1840,2210,7830,-0.07,71,9,5,15.5,1.7,1000000,     L2 msmx,7.36
5487,   6/4/2024, 15:28:00.629250,   6/4/2024, 15:28:00.445145,      Primary,2,0,-1660,2210,7790,0.64,187.75,9,19,39,3.1,1000000,     L2 msmx,11.54
5488,   6/4/2024, 15:28:03.053500,   6/4/2024, 15:28:02.753176,      Primary,2,0,-1690,2230,7790,0.12,64.58,9,5.4,10.3,2.6,1000000,     L2 msmx,20.59
