Source, Trig Date ,    Trig Time   ,Origin Date,   Origin Time  ,    Profile  , Status, Cluster,      Y     ,      X     ,    Depth   , MomMag,   PGV  , Stage, P S/N  , S S/N  , Quality,   Error  , Location   , rms Noise,Matched File
4483,   3/4/2024, 14:48:22.200750,   3/4/2024, 14:48:22.200039,      Primary,2,0,-1080,3130,7730,0.02,152.5,3,12.7,32.6,2.0,1000000,     L2 msmx,6.77,
4540,   3/4/2024, 14:51:34.146000,   3/4/2024, 14:51:34.258392,      Primary,2,0,-930,3220,7680,0.26,189.5,3,39.5,82.6,1.9,1000000,     L2 msmx,6.71,
4553,   3/4/2024, 14:52:20.802000,   3/4/2024, 14:52:20.676702,      Primary,2,0,-980,3160,7720,0.51,274.96,3,85.6,153.4,2.5,1000000,     L2 msmx,22.42,
4701,   3/4/2024, 15:00:42.256250,   3/4/2024, 15:00:42.097458,      Primary,2,0,-170,3170,8150,0.05,200.74,3,10.1,27.5,2.6,1000000,     L2 msmx,15.0,
4711,   3/4/2024, 15:01:17.029750,   3/4/2024, 15:01:16.902393,      Primary,2,0,-760,3260,7640,0.02,134.39,3,25.6,57.2,2.0,1000000,     L2 msmx,14.63,
4821,   3/4/2024, 15:07:15.185750,   3/4/2024, 15:07:15.030148,      Primary,2,0,-340,3080,8220,0.51,310.38,3,51.4,83.2,2.8,1000000,     L2 msmx,14.03,
4956,   3/4/2024, 15:15:37.982500,   3/4/2024, 15:15:37.834309,      Primary,2,0,-280,3170,8130,0.46,523.24,3,41.4,77.1,3.2,1000000,     L2 msmx,16.63,
5058,   3/4/2024, 15:21:14.952750,   3/4/2024, 15:21:14.792454,      Primary,2,0,-780,2930,8510,0.37,177.49,3,62.7,129.8,2.7,1000000,     L2 msmx,13.86,
5102,   3/4/2024, 15:24:02.096250,   3/4/2024, 15:24:02.288479,      Primary,2,0,-930,3170,7760,-0.14,106.82,3,9.1,15.6,1.6,1000000,     L2 msmx,8.97,
5215,   3/4/2024, 15:32:16.102500,   3/4/2024, 15:32:16.036551,      Primary,2,0,-1030,3190,7670,0.27,282.24,3,65.9,175.8,2.6,1000000,     L2 msmx,15.53,
5310,   3/4/2024, 15:38:58.936500,   3/4/2024, 15:38:58.785370,      Primary,2,0,-1270,3040,8190,0.13,151.08,3,18.3,37.0,2.4,1000000,     L2 msmx,12.33,
5603,   3/4/2024, 15:56:31.842750,   3/4/2024, 15:56:31.689823,      Primary,2,0,-1480,2910,8320,0.31,282.82,3,57.5,104.0,3.0,1000000,     L2 msmx,12.79,
5759,   3/4/2024, 16:05:06.842250,   3/4/2024, 16:05:06.709919,      Primary,2,0,-1100,3230,7770,0.19,187.75,3,50.9,152.3,2.2,1000000,     L2 msmx,12.82,
5853,   3/4/2024, 16:11:38.217500,   3/4/2024, 16:11:38.067074,      Primary,2,0,-1230,3180,7750,0.42,374.88,3,60.2,139.8,2.4,1000000,     L2 msmx,14.03,
6150,   3/4/2024, 16:30:52.676000,   3/4/2024, 16:30:52.539597,      Primary,2,0,-790,3210,7740,0.07,171.48,3,44.5,153.1,2.0,1000000,     L2 msmx,12.82,
6234,   3/4/2024, 16:36:41.200500,   3/4/2024, 16:36:41.173100,      Primary,2,0,-1190,3130,7850,0.69,510.82,3,106.4,183.0,2.7,1000000,     L2 msmx,8.31,
6715,   3/4/2024, 17:10:46.457500,   3/4/2024, 17:10:46.286766,      Primary,2,0,-1130,2980,8330,0.13,98.28,3,44.3,80.0,2.3,1000000,     L2 msmx,10.4,
6944,   3/4/2024, 17:28:16.957500,   3/4/2024, 17:28:16.813313,      Primary,2,0,-890,3240,7690,0.01,191.65,3,13.9,29.8,1.8,1000000,     L2 msmx,14.43,
7296,   3/4/2024, 17:56:48.074750,   3/4/2024, 17:56:47.927151,      Primary,2,0,-500,3120,8140,-0.02,193.17,3,29.2,104.8,1.6,1000000,     L2 msmx,10.96,
