Source, Trig Date ,    Trig Time   ,Origin Date,   Origin Time  ,    Profile  , Status, Cluster,      Y     ,      X     ,    Depth   , MomMag,   PGV  , Stage, P S/N  , S S/N  , Quality,   Error  , Location   , rms Noise,Matched File
3322,   4/4/2024, 09:48:58.315750,   4/4/2024, 09:48:58.129238,      Primary,2,0,170,3290,8330,-0.01,60.71,6,9.2,14.6,1.7,1000000,     L2 msmx,7.17,
3390,   4/4/2024, 09:53:04.183750,   4/4/2024, 09:53:04.022715,      Primary,2,0,50,3190,8220,0.4,457.43,6,23.6,40.1,2.3,1000000,     L2 msmx,13.56,
3425,   4/4/2024, 09:55:09.834000,   4/4/2024, 09:55:09.673355,      Primary,2,0,-480,2860,8210,-0.12,79.53,6,8.9,27.0,3.0,1000000,     L2 msmx,9.98,
3570,   4/4/2024, 10:03:22.368250,   4/4/2024, 10:03:22.054604,      Primary,2,0,-620,2970,8290,0.48,207.74,6,17.5,29.0,3.4,1000000,     L2 msmx,46.67,
3708,   4/4/2024, 10:11:43.143250,   4/4/2024, 10:11:42.980125,      Primary,2,0,-340,2800,8240,0.5,488.15,6,42.5,43.8,3.8,1000000,     L2 msmx,19.69,
3721,   4/4/2024, 10:12:23.538500,   4/4/2024, 10:12:23.350431,      Primary,2,0,-1230,2740,8630,-0.11,41.67,6,16.5,31.9,1.9,1000000,     L2 msmx,7.97,
4011,   4/4/2024, 10:30:19.253500,   4/4/2024, 10:30:19.088663,      Primary,2,0,-610,2780,8360,0.31,119.83,6,28.9,76.3,2.5,1000000,     L2 msmx,11.41,
4024,   4/4/2024, 10:31:13.825250,   4/4/2024, 10:31:13.526357,      Primary,2,0,-80,3100,7980,0.48,499.86,6,14.2,36.6,3.3,1000000,     L2 msmx,84.91,
4128,   4/4/2024, 10:38:40.291250,   4/4/2024, 10:38:40.134842,      Primary,2,0,-170,2990,8740,0.7,369.41,6,41.2,74.7,3.0,1000000,     L2 msmx,11.55,
4129,   4/4/2024, 10:38:44.747500,   4/4/2024, 10:38:44.566776,      Primary,2,0,140,3210,8440,0.26,175.74,6,6.7,10.4,2.0,1000000,     L2 msmx,11.69,
4310,   4/4/2024, 10:51:47.031250,   4/4/2024, 10:51:46.721012,      Primary,2,0,10,3190,8310,0.05,113.62,6,4.1,7.4,1.9,1000000,     L2 msmx,39.58,
4318,   4/4/2024, 10:52:24.474500,   4/4/2024, 10:52:24.324957,      Primary,2,0,-150,3310,7990,0.27,295.08,6,20.3,51.4,2.6,1000000,     L2 msmx,11.79,
4323,   4/4/2024, 10:52:56.646500,   4/4/2024, 10:52:56.472309,      Primary,2,0,40,3220,8220,-0.06,73.9,6,66.1,92.9,1.7,1000000,     L2 msmx,7.28,
4453,   4/4/2024, 11:03:00.151000,   4/4/2024, 11:03:00.012231,      Primary,2,0,-160,3080,7980,0.53,493.2,6,29.0,65.3,3.2,1000000,     L2 msmx,21.16,
4528,   4/4/2024, 11:08:20.059500,   4/4/2024, 11:08:19.890299,      Primary,2,0,-660,2750,8480,0.35,149.7,6,28.0,54.8,2.0,1000000,     L2 msmx,11.92,
4538,   4/4/2024, 11:09:02.564500,   4/4/2024, 11:09:02.411877,      Primary,2,0,-640,3030,8380,-0.04,47.96,6,9.1,11.2,3.0,1000000,     L2 msmx,10.51,
4827,   4/4/2024, 11:29:50.288000,   4/4/2024, 11:29:50.137314,      Primary,2,0,-150,3110,8070,0.01,170.96,6,15.5,34.3,3.9,1000000,     L2 msmx,9.73,
4838,   4/4/2024, 11:30:43.630000,   4/4/2024, 11:30:43.437199,      Primary,2,0,-1310,2790,8720,0.49,156.41,6,22.0,40.5,3.0,1000000,     L2 msmx,11.87,
4985,   4/4/2024, 11:41:25.831750,   4/4/2024, 11:41:25.647371,      Primary,2,0,230,3300,8510,0.03,124.82,6,31.2,48.3,2.3,1000000,     L2 msmx,7.8,
5056,   4/4/2024, 11:46:55.014500,   4/4/2024, 11:46:54.662910,      Primary,2,0,-1260,2770,8690,-0.05,45.89,6,4.5,7.4,1.8,1000000,     L2 msmx,18.81,
5074,   4/4/2024, 11:48:22.081750,   4/4/2024, 11:48:21.901932,      Primary,2,0,180,3170,8350,-0.03,56.91,6,28.9,25.8,1.5,1000000,     L2 msmx,6.85,
5420,   4/4/2024, 12:15:39.066500,   4/4/2024, 12:15:38.917088,      Primary,2,0,-1560,3280,7680,0.0,76.89,6,12.6,11.1,2.9,1000000,     L2 msmx,9.41,
5497,   4/4/2024, 12:21:57.541500,   4/4/2024, 12:21:57.354424,      Primary,2,0,-910,2740,8730,0.38,130.87,6,12.1,27.9,3.1,1000000,     L2 msmx,9.46,
5541,   4/4/2024, 12:24:27.143000,   4/4/2024, 12:24:26.984144,      Primary,2,0,-500,2770,8210,0.44,403.79,6,74.5,116.6,4.5,1000000,     L2 msmx,18.31,
5607,   4/4/2024, 12:29:13.085000,   4/4/2024, 12:29:12.925997,      Primary,2,0,80,3170,8160,-0.13,86.6,6,6.8,13.5,1.9,1000000,     L2 msmx,7.1,
5681,   4/4/2024, 12:33:54.317500,   4/4/2024, 12:33:54.178719,      Primary,2,0,-260,3080,8030,0.6,528.19,6,30.7,69.0,2.4,1000000,     L2 msmx,18.04,
5683,   4/4/2024, 12:34:00.311750,   4/4/2024, 12:34:00.160926,      Primary,2,0,-180,3170,7950,0.09,157.18,6,10.7,28.2,2.9,1000000,     L2 msmx,13.26,
5996,   4/4/2024, 12:54:50.350500,   4/4/2024, 12:54:49.987972,      Primary,2,0,-800,2920,8600,0.02,80.31,6,7.8,12.2,2.1,1000000,     L2 msmx,24.95,
6008,   4/4/2024, 12:55:48.417750,   4/4/2024, 12:55:48.277847,      Primary,2,0,-160,3180,7900,0.25,429.29,6,16.1,44.1,3.5,1000000,     L2 msmx,12.62,
6024,   4/4/2024, 12:57:08.834750,   4/4/2024, 12:57:08.685049,      Primary,2,0,-1280,3280,7610,-0.07,239.53,6,17.4,74.2,2.3,1000000,     L2 msmx,9.39,
6164,   4/4/2024, 13:07:25.781750,   4/4/2024, 13:07:25.634823,      Primary,2,0,-1350,3250,7690,0.61,452.9,6,74.8,161.9,4.6,1000000,     L2 msmx,20.47,
6563,   4/4/2024, 13:37:52.417000,   4/4/2024, 13:37:52.273121,      Primary,2,0,-150,3080,7980,0.17,247.22,6,61.2,97.9,3.5,1000000,     L2 msmx,18.02,
