Source, Trig Date ,    Trig Time   ,Origin Date,   Origin Time  ,    Profile  , Status, Cluster,      Y     ,      X     ,    Depth   , MomMag,   PGV  , Stage, P S/N  , S S/N  , Quality,   Error  , Location   , rms Noise,Matched File
1570,   6/4/2024, 07:32:25.554000,   6/4/2024, 07:32:25.335499,      Primary,2,0,-1550,2220,7910,0.28,89.36,9,7.6,18.3,2.5,1000000,     L2 msmx,9.63,
1598,   6/4/2024, 07:33:23.280000,   6/4/2024, 07:33:23.065559,      Primary,2,0,-440,2210,7830,0.07,74.37,9,21.6,19.0,3.3,1000000,     L2 msmx,14.16,
1690,   6/4/2024, 07:36:34.615000,   6/4/2024, 07:36:34.454124,      Primary,2,0,-900,2450,6560,0.8,187.75,9,17.0,35.1,5.4,1000000,     L2 msmx,21.11,
1711,   6/4/2024, 07:37:22.217000,   6/4/2024, 07:37:22.016140,      Primary,2,0,-1670,2330,7460,0.45,187.75,9,13.9,27.0,3.3,1000000,     L2 msmx,13.53,
1715,   6/4/2024, 07:37:33.931750,   6/4/2024, 07:37:33.913197,      Primary,2,0,-1340,2410,6760,0.01,148.37,9,6.1,10.3,2.6,1000000,     L2 msmx,9.52,
1716,   6/4/2024, 07:37:35.110000,   6/4/2024, 07:37:34.927952,      Primary,2,0,-1260,2480,6980,0.01,187.75,9,4.6,7.0,2.1,1000000,     L2 msmx,16.01,
1725,   6/4/2024, 07:37:55.397000,   6/4/2024, 07:37:55.217422,      Primary,2,0,-250,2400,6680,0.22,175.42,9,7.6,19.6,2.9,1000000,     L2 msmx,15.06,
1821,   6/4/2024, 07:41:37.103000,   6/4/2024, 07:41:36.970264,      Primary,2,0,-690,2260,6560,0.74,187.75,9,28.7,41.0,2.6,1000000,     L2 msmx,16.21,
1888,   6/4/2024, 07:44:04.740750,   6/4/2024, 07:44:04.676921,      Primary,2,0,-120,2350,6540,0.07,112.29,9,3.8,9.0,2.1,1000000,     L2 msmx,15.71,
1892,   6/4/2024, 07:44:13.316500,   6/4/2024, 07:44:13.162604,      Primary,2,0,-450,2500,6310,-0.05,117.24,9,5.4,14.0,2.0,1000000,     L2 msmx,10.75,
1918,   6/4/2024, 07:45:06.453000,   6/4/2024, 07:45:06.281541,      Primary,2,0,-1580,2150,7510,0.15,187.75,9,6.2,18.5,2.0,1000000,     L2 msmx,8.25,
1946,   6/4/2024, 07:46:13.166500,   6/4/2024, 07:46:13.338245,      Primary,2,0,100,2420,6810,-0.09,43.1,9,5.4,9.9,1.7,1000000,     L2 msmx,7.89,
2083,   6/4/2024, 07:50:46.761750,   6/4/2024, 07:50:46.554474,      Primary,2,0,-550,2220,7740,-0.11,58.23,9,10.2,23.3,3.1,1000000,     L2 msmx,9.86,
