COMPANY 		: Utah Forge
FIELD   		: Beaver (University of Utah)
SITE    		: Utah Forge
WELL   		: 16B(78)-32
WELLPATH		: 16B(78)-32
DESIGN			: 16B(78)-32 Final Surveys
MAP SYSTEM		: Universal Transverse Mercator (US Survey Feet)
GEODIC DATUM		: NAD83 Utah - HARN
MAP ZONE		: Zone 12N (114 W to 108 W)
CALCULATION METHOD	: Minimum Curvature
WELL EASTING 		: 1097907.09ft 
WELL NORTHING 		: 13987765.96ft 
VSECT DIREC 		: 106.85deg 
NORTH REF		: Grid
KB ELEV  		: 5447.65ft 
GL ELEV 		: 5415.65ft 
DATE			: 6/26/2023

SURVEY 

MD         INC       AZI       TVD        SSTVD        N/S       NORTHING       E/W        EASTING       VSEC        DLS            
(ft)      (deg)     (deg)      (ft)       (ft)         (ft)       (Ft)          (ft)        (Ft)         (ft)     (deg/100ft)  


2600.00    1.16     200.62    2599.57     -2848.08    -10.12    13987755.84    25.27     1097932.36      27.12      1.09   
2625.00    1.04     210.58    2624.56     -2823.09    -10.55    13987755.41    25.07     1097932.16      27.05      0.90   
2650.00    1.03     221.52    2649.56     -2798.09    -10.91    13987755.05    24.80     1097931.89      26.90      0.79   
2675.00    1.25     256.28    2674.56     -2773.09    -11.15    13987754.81    24.39     1097931.48      26.57      2.85   
2700.00    1.29     254.86    2699.55     -2748.10    -11.29    13987754.68    23.85     1097930.94      26.10      0.20   
2725.00    1.46     259.88    2724.54     -2723.11    -11.41    13987754.55    23.27     1097930.36      25.58      0.83   
2750.00    1.44     253.95    2749.53     -2698.12    -11.56    13987754.40    22.65     1097929.74      25.03      0.61   
2775.00    1.20     250.69    2774.53     -2673.12    -11.73    13987754.23    22.10     1097929.19      24.56      1.01   
2800.00    0.90     255.68    2799.52     -2648.13    -11.87    13987754.10    21.67     1097928.75      24.18      1.25   
2825.00    1.01     280.25    2824.52     -2623.13    -11.88    13987754.09    21.26     1097928.35      23.79      1.68   
2850.00    1.03     284.67    2849.52     -2598.13    -11.78    13987754.18    20.83     1097927.91      23.35      0.32   
2875.00    1.17     282.11    2874.51     -2573.14    -11.67    13987754.29    20.36     1097927.45      22.87      0.59   
2900.00    1.13     283.34    2899.51     -2548.14    -11.56    13987754.40    19.87     1097926.96      22.37      0.19   
2925.00    1.01     271.93    2924.50     -2523.15    -11.49    13987754.47    19.41     1097926.50      21.91      0.98   
2950.00    0.65     279.18    2949.50     -2498.15    -11.46    13987754.50    19.05     1097926.14      21.55      1.50   
2975.00    0.87     303.93    2974.50     -2473.15    -11.34    13987754.63    18.75     1097925.84      21.23      1.56   
3000.00    1.01     284.44    2999.49     -2448.16    -11.17    13987754.79    18.38     1097925.47      20.83      1.39   
3025.00    0.61     286.05    3024.49     -2423.16    -11.08    13987754.88    18.04     1097925.13      20.48      1.60   
3050.00    0.71     301.26    3049.49     -2398.16    -10.97    13987755.00    17.78     1097924.87      20.20      0.80   
3075.00    0.84     275.53    3074.49     -2373.16    -10.87    13987755.09    17.46     1097924.55      19.87      1.47   
3100.00    0.61     293.64    3099.49     -2348.16    -10.80    13987755.16    17.16     1097924.25      19.55      1.29   
3125.00    0.78     311.23    3124.48     -2323.17    -10.63    13987755.33    16.91     1097924.00      19.27      1.08   
3150.00    0.77     279.28    3149.48     -2298.17    -10.49    13987755.47    16.62     1097923.70      18.94      1.71   
3175.00    0.71     320.79    3174.48     -2273.17    -10.35    13987755.62    16.35     1097923.44      18.65      2.11   
3200.00    0.91     300.34    3199.48     -2248.17    -10.12    13987755.84    16.08     1097923.17      18.33      1.39   
3225.00    0.52     282.31    3224.48     -2223.17    -10.00    13987755.96    15.80     1097922.89      18.02      1.78   
3250.00    0.68     314.84    3249.47     -2198.18    -9.87     13987756.09    15.59     1097922.67      17.78      1.48   
3275.00    0.45     329.64    3274.47     -2173.18    -9.68     13987756.28    15.43     1097922.52      17.58      1.08   
3300.00    0.56     330.00    3299.47     -2148.18    -9.49     13987756.47    15.32     1097922.41      17.41      0.44   
3325.00    0.47     322.18    3324.47     -2123.18    -9.30     13987756.66    15.20     1097922.28      17.24      0.46   
3350.00    0.35     336.04    3349.47     -2098.18    -9.15     13987756.81    15.10     1097922.19      17.11      0.62   
3375.00    0.24     4.68      3374.47     -2073.18    -9.03     13987756.93    15.08     1097922.16      17.05      0.72   
3400.00    0.37     63.06     3399.47     -2048.18    -8.94     13987757.02    15.15     1097922.24      17.09      1.27   
3425.00    0.46     101.84    3424.47     -2023.18    -8.93     13987757.03    15.32     1097922.41      17.25      1.15   
3450.00    0.50     109.13    3449.47     -1998.18    -8.98     13987756.98    15.52     1097922.61      17.46      0.29   
3475.00    0.82     99.96     3474.47     -1973.18    -9.05     13987756.91    15.80     1097922.89      17.75      1.34   
3500.00    0.58     113.04    3499.46     -1948.19    -9.13     13987756.83    16.10     1097923.18      18.05      1.15   
