MD,INC,AZI,TVD,SSTVD,N/S,NORTHING,E/W,EASTING,VSEC,DLS
3150,0.77,279.28,3149.48,2298.17,-10.49,13987755.47,16.62,1097923.7,18.94,1.71
3175,0.71,320.79,3174.48,2273.17,-10.35,13987755.62,16.35,1097923.44,18.65,2.11
3200,0.91,300.34,3199.48,2248.17,-10.12,13987755.84,16.08,1097923.17,18.33,1.39
3225,0.52,282.31,3224.48,2223.17,-10,13987755.96,15.8,1097922.89,18.02,1.78
3250,0.68,314.84,3249.47,2198.18,-9.87,13987756.09,15.59,1097922.67,17.78,1.48
3275,0.45,329.64,3274.47,2173.18,-9.68,13987756.28,15.43,1097922.52,17.58,1.08
3300,0.56,330,3299.47,2148.18,-9.49,13987756.47,15.32,1097922.41,17.41,0.44
3325,0.47,322.18,3324.47,2123.18,-9.3,13987756.66,15.2,1097922.28,17.24,0.46
3350,0.35,336.04,3349.47,2098.18,-9.15,13987756.81,15.1,1097922.19,17.11,0.62
3375,0.24,4.68,3374.47,2073.18,-9.03,13987756.93,15.08,1097922.16,17.05,0.72
3400,0.37,63.06,3399.47,2048.18,-8.94,13987757.02,15.15,1097922.24,17.09,1.27
3425,0.46,101.84,3424.47,2023.18,-8.93,13987757.03,15.32,1097922.41,17.25,1.15
3450,0.5,109.13,3449.47,1998.18,-8.98,13987756.98,15.52,1097922.61,17.46,0.29
3475,0.82,99.96,3474.47,1973.18,-9.05,13987756.91,15.8,1097922.89,17.75,1.34
3500,0.58,113.04,3499.46,1948.19,-9.13,13987756.83,16.1,1097923.18,18.05,1.15
3525,0.97,104.22,3524.46,1923.19,-9.23,13987756.73,16.42,1097923.5,18.39,1.63
3550,0.7,87.67,3549.46,1898.19,-9.28,13987756.68,16.77,1097923.86,18.74,1.44
3575,0.86,82.09,3574.46,1873.19,-9.25,13987756.72,17.11,1097924.2,19.06,0.71
3600,0.75,95.48,3599.46,1848.19,-9.24,13987756.73,17.46,1097924.55,19.39,0.87
3625,0.5,124.27,3624.45,1823.2,-9.31,13987756.65,17.71,1097924.8,19.65,1.58
3650,0.8,109.58,3649.45,1798.2,-9.43,13987756.53,17.97,1097925.06,19.93,1.36
3675,0.67,114.35,3674.45,1773.2,-9.55,13987756.41,18.27,1097925.35,20.25,0.57
3700,0.74,97.06,3699.45,1748.2,-9.63,13987756.33,18.56,1097925.65,20.56,0.89
3725,0.74,101.53,3724.45,1723.2,-9.68,13987756.28,18.88,1097925.96,20.88,0.23
3750,0.63,78.68,3749.44,1698.21,-9.69,13987756.27,19.17,1097926.26,21.16,1.17
3775,0.55,107.07,3774.44,1673.21,-9.7,13987756.26,19.42,1097926.51,21.4,1.2
3800,0.59,86.48,3799.44,1648.21,-9.72,13987756.24,19.66,1097926.75,21.64,0.83
