Lon,Lat,Depth
-112.894898314,38.5034214351,-326.020932
-112.894840597,38.5033997102,-331.20558
-112.894782382,38.5033789546,-336.399372
-112.894723712,38.5033595247,-341.617548
-112.894664299,38.5033410681,-346.814388
-112.89460381,38.5033229309,-351.928932
-112.894542091,38.5033045115,-356.921556
-112.894478615,38.503285736,-361.722156
-112.894412567,38.5032674965,-366.278916
-112.894343694,38.5032508407,-370.588788
-112.89432696,38.503247129,-371.573292
-112.894271996,38.5032357412,-374.599956
-112.894252921,38.5032320673,-375.587508
-112.894197818,38.5032220276,-378.324612
-112.89412227,38.5032094072,-381.890772
-112.894045864,38.5031973774,-385.335012
-112.89396886,38.50318522,-388.666476
-112.893890903,38.5031726659,-391.805916
-112.893811927,38.503159936,-394.750284
-112.893732672,38.503147238,-397.624548
-112.893653279,38.5031345972,-400.480524
-112.893573957,38.5031219826,-403.345644
-112.893494629,38.5031091483,-406.204668
-112.893415369,38.5030962305,-409.069788
-112.893336008,38.5030835065,-411.928812
-112.893256619,38.5030709751,-414.784788
-112.893177374,38.5030586611,-417.686484
-112.893098486,38.503046616,-420.673524
-112.893020015,38.5030344541,-423.74286
-112.892941952,38.5030218737,-426.860964
-112.892863776,38.5030089654,-429.94554
-112.892785182,38.5029961188,-432.956964
-112.892706526,38.5029836027,-435.962292
-112.892627875,38.5029712512,-438.988956
-112.892549466,38.502958786,-442.0461
-112.89247129,38.5029458774,-445.133724
-112.892393483,38.5029323861,-448.254876
-112.89231598,38.5029184778,-451.4187
-112.892238615,38.5029045398,-454.60386
-112.892161157,38.5028909878,-457.782924
-112.892083425,38.5028776873,-460.931508
-112.892005721,38.5028641391,-464.077044
-112.891928077,38.5028501779,-467.20734
-112.891850216,38.5028359455,-470.279724
-112.891771967,38.502821582,-473.27286
-112.891693438,38.5028071955,-476.201988
-112.891614208,38.5027927654,-478.981764
-112.891534318,38.5027784557,-481.62438
-112.891454052,38.5027644816,-484.202988
-112.891373408,38.5027507333,-486.702348
-112.89129291,38.5027372298,-489.256572
-112.891212973,38.5027237996,-491.947956
-112.891133627,38.5027102773,-494.758212
-112.891054736,38.5026967202,-497.659908
-112.890976163,38.5026833227,-500.646948
-112.890898193,38.5026702724,-503.762004
-112.890820651,38.5026575174,-506.974596
-112.890743322,38.5026449236,-510.22986
-112.890666209,38.502632546,-513.539988
-112.890589346,38.502620384,-516.901932
-112.890512627,38.502608357,-520.291308
-112.890436258,38.5025963517,-523.741644
-112.890360238,38.5025843682,-527.25294
-112.89028373,38.5025723926,-530.684988
-112.890206455,38.5025604842,-533.982924
-112.890128618,38.5025485025,-537.177228
-112.890050636,38.5025363033,-540.331908
-112.889972644,38.5025237197,-543.471348
-112.889894567,38.5025105606,-546.56202
-112.889816725,38.5024970132,-549.674028
-112.889739573,38.5024831525,-552.90186
-112.889663214,38.5024688669,-556.248564
-112.889587335,38.5024542165,-559.650132
-112.889511907,38.5024394215,-563.1279
-112.889437004,38.5024246453,-566.691012
-112.889362976,38.5024099374,-570.394332
-112.889289546,38.5023953846,-574.19214
-112.889216051,38.5023809976,-577.9869
-112.889142525,38.5023667759,-581.790804
-112.889068796,38.5023527771,-585.570324
-112.888994825,38.5023389195,-589.319364
-112.888920785,38.5023250629,-593.062308
-112.888846603,38.5023111537,-596.77782
-112.888772001,38.5022972237,-600.429324
-112.888696877,38.5022833296,-604.00158
-112.888621301,38.50226958,-607.503732
-112.888545276,38.5022560024,-610.938828
-112.888468624,38.5022425173,-614.279436
-112.888391594,38.5022292854,-617.559084
-112.888314922,38.5022163773,-620.914932
-112.888238466,38.5022036853,-624.325644
-112.888161806,38.5021912164,-627.705876
-112.888085185,38.5021789115,-631.101348
-112.888008568,38.5021667713,-634.509012
-112.887932268,38.5021547084,-637.965444
-112.887856318,38.5021426398,-641.488932
-112.88778068,38.5021305111,-645.055092
-112.887705215,38.5021182973,-648.648684
-112.887629817,38.5021059724,-652.239228
-112.887554347,38.5020935937,-655.826724
-112.88747888,38.5020812698,-659.41422
-112.887403412,38.5020689734,-663.001716
-112.887328085,38.5020566747,-666.6075
-112.887252929,38.5020442358,-670.243764
-112.887178083,38.5020316271,-673.913556
-112.887103546,38.5020188211,-677.62602
-112.887029114,38.5020060133,-681.353724
-112.886954714,38.5019930677,-685.075332
-112.886880553,38.5019799259,-688.833516
-112.886806736,38.5019665588,-692.628276
-112.88673267,38.5019530308,-696.380364
-112.88665794,38.5019395135,-700.02882
-112.886582654,38.501926115,-703.59498
-112.886506848,38.5019128622,-707.087988
-112.886430625,38.5018997258,-710.51394
-112.886353953,38.501886789,-713.869788
-112.886276695,38.5018741361,-717.137244
-112.88619892,38.5018617937,-720.325452
-112.88612073,38.5018495952,-723.443556
-112.886042189,38.5018373749,-726.491556
-112.885963464,38.501824773,-729.481644
-112.885884856,38.5018112902,-732.453444
-112.885806542,38.5017970336,-735.43134
-112.885728287,38.5017823365,-738.40314
-112.885650207,38.5017676915,-741.411516
-112.885572939,38.501753308,-744.584484
-112.885496269,38.5017390797,-747.879372
-112.8854196,38.5017249062,-751.177308
-112.885342828,38.5017108167,-754.463052
-112.885265544,38.5016971474,-757.672596
-112.885187542,38.5016841213,-760.781556
-112.885109131,38.5016714863,-763.835652
-112.885030655,38.5016590445,-766.8867
-112.884952183,38.5016467673,-769.943844
-112.884873605,38.5016344095,-772.9827
-112.884794847,38.5016218897,-775.972788
-112.884715951,38.501609427,-778.938492
-112.884637022,38.5015970197,-781.895052
-112.884558089,38.5015844476,-784.845516
-112.884479294,38.5015718458,-787.829508
-112.884400781,38.5015593218,-790.868364
-112.884322378,38.5015469882,-793.931604
-112.884243814,38.5015351515,-796.997892
-112.884165013,38.5015236482,-800.030652
-112.884086002,38.5015121208,-803.014644
-112.884007033,38.5015008672,-806.029116
-112.883928284,38.5014900221,-809.098452
-112.88384979,38.5014795573,-812.231796
-112.883771587,38.5014694998,-815.438292
-112.883693602,38.5014597958,-818.7027
-112.883615797,38.501450281,-822.006732
-112.883538341,38.5014407606,-825.36258
-112.883460779,38.5014311595,-828.703188
-112.883382904,38.5014216458,-831.995028
-112.883304861,38.5014123819,-835.259436
-112.883252001,38.5014051573,-837.481428
-112.882959754,38.5013587993,-850.215972
-112.882670624,38.5013073367,-863.243124
-112.882640061,38.5013013738,-864.633012
-112.882573708,38.5012886804,-867.613956
-112.882377373,38.5012532756,-876.120924
-112.882083699,38.5012030931,-888.413508
-112.881885182,38.5011711282,-896.67054
-112.881621159,38.501130795,-907.661628
