Measured depth,Incl,Azimuth,Course length,TVD,Vertica sectionl,NS,EW,Total displ,At Azim,DLS
6337,17.45,109.58,10,6322.59,120,-26.26,117.19,120.1,102.63,2.29
6347,17.39,110.07,10,6332.13,122.98,-27.28,120.01,123.07,102.81,1.58
6357,17.38,110.41,10,6341.67,125.96,-28.31,122.81,126.03,102.98,1.02
6367,17.32,110.72,10,6351.21,128.92,-29.36,125.6,128.99,103.16,1.1
6377,17.55,111,10,6360.76,131.9,-30.43,128.4,131.96,103.33,2.45
6387,17.87,111.26,10,6370.28,134.93,-31.52,131.24,134.97,103.51,3.3
6397,18.84,111.6,10,6379.77,138.06,-32.67,134.17,138.09,103.69,9.76
6407,19.62,111.9,10,6389.21,141.33,-33.9,137.23,141.36,103.87,7.86
6417,20.26,112.17,10,6398.62,144.71,-35.17,140.39,144.73,104.07,6.47
6427,20.69,112.57,10,6407.98,148.18,-36.51,143.63,148.19,104.26,4.52
6437,20.94,112.89,10,6417.33,151.7,-37.88,146.91,151.71,104.46,2.75
6447,21.1,113.11,10,6426.67,155.26,-39.28,150.21,155.26,104.66,1.78
6457,21.45,113.28,10,6435.98,158.85,-40.71,153.54,158.85,104.85,3.55
6467,21.94,113.43,10,6445.28,162.5,-42.18,156.94,162.5,105.04,4.93
6477,22.43,113.57,10,6454.53,166.24,-43.68,160.4,166.24,105.23,4.93
6487,22.82,113.85,10,6463.77,170.04,-45.23,163.92,170.05,105.43,4.05
6497,23.07,114.51,10,6472.97,173.89,-46.83,167.48,173.9,105.62,3.59
6507,23.29,115.06,10,6482.17,177.77,-48.48,171.05,177.79,105.82,3.09
6517,23.56,115.51,10,6491.34,181.68,-50.17,174.65,181.71,106.03,3.24
6527,24.08,115.61,10,6500.49,185.65,-51.92,178.29,185.69,106.24,5.22
6537,24.83,115.58,10,6509.59,189.72,-53.7,182.02,189.78,106.44,7.5
6547,25.53,115.62,10,6518.64,193.9,-55.54,185.86,193.98,106.64,7
6557,26.28,115.65,10,6527.64,198.2,-57.43,189.8,198.3,106.84,7.5
6567,27.19,115.58,10,6536.57,202.62,-59.38,193.85,202.74,107.03,9.11
6577,28.16,115.37,10,6545.43,207.18,-61.38,198.05,207.34,107.22,9.75
6587,28.6,115.2,10,6554.22,211.86,-63.41,202.35,212.05,107.4,4.47
6597,28.74,115.11,10,6563,216.58,-65.44,206.69,216.8,107.57,1.47
6607,28.98,114.98,10,6571.76,221.34,-67.49,211.06,221.59,107.73,2.48
6617,29.48,114.72,10,6580.48,226.15,-69.54,215.49,226.43,107.89,5.16
6627,30.08,114.42,10,6589.16,231.04,-71.61,220.01,231.37,108.03,6.18
6637,30.88,114.12,10,6597.78,236.05,-73.69,224.63,236.41,108.16,8.14
6647,31.63,113.78,10,6606.33,241.18,-75.8,229.37,241.57,108.29,7.7
6657,32.41,113.19,10,6614.81,246.42,-77.91,234.24,246.85,108.4,8.4
6667,33.19,112.51,10,6623.21,251.79,-80.01,239.23,252.26,108.49,8.63
6677,34.4,111.33,10,6631.52,257.31,-82.09,244.39,257.81,108.57,13.77
6687,35.07,110.58,10,6639.74,262.98,-84.12,249.71,263.5,108.62,7.95
6697,35.42,109.97,10,6647.91,268.72,-86.12,255.12,269.27,108.65,4.96
6707,35.81,109.5,10,6656.04,274.52,-88.09,260.61,275.09,108.68,4.76
6717,36.14,109.05,10,6664.13,280.38,-90.03,266.15,280.96,108.69,4.23
6727,36.58,108.38,10,6672.18,286.3,-91.93,271.77,286.89,108.69,5.93
6737,37.15,107.37,10,6680.18,292.29,-93.77,277.47,292.89,108.67,8.32
6747,37.72,106.36,10,6688.12,298.37,-95.54,283.29,298.97,108.64,8.38
6757,38.24,105.52,10,6696.01,304.52,-97.23,289.21,305.11,108.58,7.33
6767,39.14,104.36,10,6703.81,310.77,-98.84,295.25,311.35,108.51,11.56
6777,39.56,103.1,10,6711.54,317.11,-100.34,301.41,317.67,108.41,9.03
6787,39.85,102.29,10,6719.24,323.49,-101.74,307.64,324.03,108.3,5.93
6797,40.2,101.75,10,6726.9,329.91,-103.08,313.93,330.42,108.18,4.93
6807,40.35,101.44,10,6734.53,336.37,-104.38,320.26,336.84,108.05,2.5
6817,40.87,101.13,10,6742.12,342.86,-105.66,326.65,343.31,107.92,5.58
6827,41.59,100.87,10,6749.64,349.44,-106.91,333.12,349.85,107.79,7.4
6837,42.46,100.59,10,6757.07,356.11,-108.16,339.69,356.5,107.66,8.9
6847,43.24,100.39,10,6764.4,362.89,-109.4,346.38,363.25,107.53,7.92
6857,44.22,100.23,10,6771.62,369.78,-110.64,353.18,370.1,107.39,9.86
6867,45.11,100.02,10,6778.74,376.79,-111.87,360.1,377.08,107.26,9.02
6877,45.59,100.03,10,6785.76,383.87,-113.11,367.11,384.14,107.12,4.8
6887,45.94,100.12,10,6792.74,391.01,-114.36,374.16,391.25,107,3.56
6897,46.42,100.11,10,6799.66,398.2,-115.63,381.26,398.41,106.87,4.8
6907,46.97,100,10,6806.52,405.45,-116.9,388.43,405.64,106.75,5.56
6917,47.58,99.93,10,6813.31,412.77,-118.17,395.66,412.93,106.63,6.12
6927,48.11,99.88,10,6820.02,420.15,-119.45,402.97,420.3,106.51,5.31
6937,48.66,99.89,10,6826.66,427.6,-120.73,410.33,427.73,106.4,5.5
6947,49.11,99.97,10,6833.23,435.1,-122.03,417.75,435.21,106.28,4.54
6957,49.78,100.06,10,6839.74,442.67,-123.35,425.24,442.77,106.18,6.73
6967,50.57,100.25,10,6846.14,450.32,-124.71,432.8,450.4,106.07,8.03
6977,51.25,100.41,10,6852.45,458.06,-126.1,440.43,458.13,105.98,6.91
6987,52,100.57,10,6858.65,465.88,-127.52,448.14,465.93,105.88,7.6
6997,52.69,100.72,10,6864.76,473.77,-128.99,455.92,473.82,105.8,7
7007,53.14,100.86,10,6870.79,481.73,-130.48,463.76,481.76,105.71,4.64
7017,54.01,100.93,10,6876.73,489.75,-132,471.66,489.78,105.64,8.72
7027,54.65,101.02,10,6882.56,497.85,-133.55,479.63,497.88,105.56,6.44
7037,55.19,101.15,10,6888.31,506.02,-135.12,487.66,506.04,105.49,5.5
7047,55.93,101.38,10,6893.96,514.25,-136.73,495.75,514.26,105.42,7.64
7057,56.46,101.78,10,6899.53,522.54,-138.4,503.89,522.55,105.36,6.26
7067,56.92,102.04,10,6905.02,530.89,-140.13,512.07,530.9,105.3,5.09
7077,57.3,102.22,10,6910.45,539.28,-141.89,520.28,539.28,105.25,4.09
7087,58.09,102.39,10,6915.79,547.72,-143.69,528.54,547.72,105.21,8.03
7097,58.37,102.47,10,6921.06,556.21,-145.52,536.84,556.21,105.17,2.88
7107,58.62,102.55,10,6926.29,564.73,-147.37,545.16,564.73,105.13,2.59
7117,58.79,102.58,10,6931.48,573.27,-149.23,553.5,573.27,105.09,1.72
7127,58.85,102.58,10,6936.66,581.81,-151.09,561.85,581.81,105.05,0.6
7137,59.18,102.6,10,6941.81,590.38,-152.96,570.22,590.38,105.02,3.3
7147,59.83,102.58,10,6946.88,598.99,-154.84,578.63,598.99,104.98,6.5
7157,60.49,102.54,10,6951.86,607.65,-156.72,587.1,607.65,104.95,6.61
7167,61.16,102.49,10,6956.73,616.38,-158.62,595.62,616.38,104.91,6.71
7177,61.71,102.45,10,6961.51,625.15,-160.51,604.2,625.15,104.88,5.51
7187,62.07,102.41,10,6966.22,633.96,-162.41,612.81,633.97,104.84,3.62
7197,62.08,102.25,10,6970.91,642.79,-164.3,621.44,642.79,104.81,1.42
7207,62.64,101.98,10,6975.55,651.64,-166.16,630.1,651.64,104.77,6.09
7217,63.42,101.76,10,6980.08,660.54,-167.99,638.82,660.54,104.73,8.04
7227,63.66,101.49,10,6984.54,669.47,-169.79,647.59,669.48,104.69,3.41
7237,64.27,101.43,10,6988.93,678.44,-171.58,656.4,678.45,104.65,6.12
7247,64.67,101.36,10,6993.24,687.45,-173.36,665.25,687.46,104.61,4.05
7257,64.94,101.41,10,6997.49,696.48,-175.15,674.12,696.5,104.56,2.74
7267,65.18,101.42,10,7001.71,705.53,-176.94,683,705.55,104.52,2.4
7277,65.19,101.43,10,7005.91,714.59,-178.74,691.9,714.62,104.48,0.14
7287,65.36,101.42,10,7010.09,723.65,-180.54,700.8,723.69,104.45,1.7
7297,65.84,101.36,10,7014.22,732.74,-182.34,709.73,732.78,104.41,4.83
7307,66.12,101.32,10,7018.29,741.86,-184.13,718.69,741.9,104.37,2.82
7317,66.28,101.3,10,7022.33,750.99,-185.93,727.66,751.04,104.33,1.61
7327,66.6,101.3,10,7026.32,760.13,-187.72,736.65,760.19,104.3,3.2
7337,66.77,101.29,10,7030.28,769.3,-189.52,745.65,769.36,104.26,1.7
7347,66.89,101.29,10,7034.22,778.47,-191.32,754.67,778.54,104.23,1.2
7357,67.06,101.32,10,7038.13,787.66,-193.13,763.69,787.73,104.19,1.72
7367,66.46,101.55,10,7042.07,796.83,-194.95,772.7,796.91,104.16,6.36
7377,67.49,101.64,10,7045.98,806.01,-196.8,781.72,806.11,104.13,10.33
7387,66.81,101.86,10,7049.87,815.21,-198.68,790.74,815.31,104.1,7.1
7397,66.16,102.17,10,7053.86,824.37,-200.58,799.71,824.48,104.08,7.09
7407,65.23,102.39,10,7057.97,833.47,-202.52,808.61,833.59,104.06,9.51
7417,64.75,102.57,10,7062.2,842.53,-204.48,817.46,842.65,104.04,5.07
7427,64.15,102.63,10,7066.51,851.54,-206.45,826.26,851.66,104.03,6.02
7437,64.43,102.69,10,7070.85,860.55,-208.42,835.05,860.67,104.01,2.85
7447,64.66,102.72,10,7075.15,869.57,-210.41,843.86,869.7,104,2.32
7457,65.22,102.75,10,7079.39,878.62,-212.41,852.7,878.76,103.99,5.61
7467,65.75,102.8,10,7083.53,887.71,-214.42,861.57,887.85,103.98,5.32
7477,66.18,102.85,10,7087.61,896.84,-216.45,870.48,896.98,103.96,4.32
7487,66.15,103.07,10,7091.65,905.98,-218.5,879.39,906.13,103.95,2.03
7497,65.6,103.43,10,7095.74,915.1,-220.59,888.27,915.25,103.95,6.41
7507,65.17,103.88,10,7099.9,924.19,-222.73,897.11,924.35,103.94,5.94
7517,65.72,104.35,10,7104.06,933.28,-224.95,905.93,933.44,103.95,6.97
7527,65.71,104.71,10,7108.17,942.4,-227.24,914.75,942.56,103.95,3.28
7537,64.48,105.01,10,7112.38,951.47,-229.57,923.52,951.62,103.96,12.6
7547,65.76,105.24,10,7116.59,960.54,-231.93,932.28,960.69,103.97,12.97
7557,65.63,105.45,10,7120.7,969.65,-234.34,941.07,969.81,103.98,2.31
7567,66.17,105.64,10,7124.79,978.78,-236.79,949.86,978.93,104,5.67
7577,66.87,105.77,10,7128.77,987.95,-239.27,958.69,988.1,104.01,7.1
7587,66.29,105.95,10,7132.75,997.13,-241.78,967.52,997.27,104.03,6.03
7597,65.05,106.17,10,7136.87,1006.24,-244.3,976.27,1006.38,104.05,12.56
7607,65.18,106.32,10,7141.07,1015.31,-246.84,984.98,1015.44,104.07,1.88
7617,65.42,106.55,10,7145.25,1024.39,-249.41,993.7,1024.52,104.09,3.18
7627,64.36,106.78,10,7149.5,1033.44,-252.01,1002.37,1033.56,104.11,10.8
7637,64.46,106.88,10,7153.82,1042.45,-254.62,1011,1042.57,104.14,1.35
7647,64.1,107.09,10,7158.15,1051.46,-257.25,1019.62,1051.57,104.16,4.07
7657,63.14,107.76,10,7162.6,1060.41,-259.93,1028.17,1060.52,104.19,11.32
7667,62.36,108.2,10,7167.18,1069.29,-262.68,1036.62,1069.39,104.22,8.73
7677,61.19,108.52,10,7171.91,1078.08,-265.45,1044.99,1078.17,104.25,12.03
