Lon,Lat,Depth
-112.896315775,38.50399998,-153.104844
-112.896313673,38.5039997669,-156.146748
-112.896311151,38.5039995605,-159.185604
-112.896308279,38.5039993598,-162.22446
-112.896305023,38.5039991379,-165.260268
-112.896301383,38.5039989497,-168.28998
-112.896297394,38.5039987671,-171.316644
-112.896292985,38.5039985913,-174.343308
-112.896288227,38.5039984212,-177.360828
-112.896283119,38.5039982567,-180.3753
-112.896277628,38.5039980985,-183.386724
-112.896271752,38.5039979465,-186.392052
-112.896265491,38.5039978007,-189.391284
-112.896258882,38.5039976606,-192.381372
-112.896251922,38.5039974986,-195.368412
-112.896244544,38.503997371,-198.349356
-112.896236851,38.5039972484,-201.321156
-112.896228739,38.5039971326,-204.28686
-112.896220312,38.5039970218,-207.24342
-112.896211501,38.5039968899,-210.193884
-112.896202476,38.5039966241,-213.138252
-112.896193272,38.5039961689,-216.079572
-112.896183922,38.5039955239,-219.014796
-112.896174428,38.5039946614,-221.946972
-112.896164788,38.503993609,-224.873052
-112.896154968,38.5039923399,-227.796084
-112.896145003,38.5039908808,-230.71302
-112.896134894,38.5039892318,-233.62386
-112.896124604,38.5039873935,-236.531652
-112.896114241,38.503985419,-239.433348
-112.896103807,38.5039833907,-242.331996
-112.896093303,38.5039813362,-245.230644
-112.896082692,38.5039792284,-248.126244
-112.89607208,38.5039770931,-251.018796
-112.896061397,38.5039749041,-253.911348
-112.896050748,38.5039726871,-256.8039
-112.896040134,38.503970442,-259.696452
-112.896029588,38.5039681409,-262.592052
-112.896019076,38.5039658392,-265.487652
-112.896008669,38.5039634809,-268.3863
-112.895998434,38.5039610649,-271.287996
-112.895988337,38.5039585643,-274.19274
-112.895978344,38.503956007,-277.100532
-112.895968418,38.5039533663,-280.008324
-112.895958561,38.503950697,-282.916116
-112.895948738,38.5039479722,-285.823908
-112.895938878,38.503945193,-288.734748
-112.895928877,38.5039423612,-291.636444
-112.895918558,38.5039393698,-294.528996
-112.895907778,38.5039361661,-297.406308
-112.895896647,38.5039328583,-300.274476
-112.89588523,38.5039293627,-303.127404
-112.895873672,38.5039257871,-305.977284
-112.895862042,38.5039221303,-308.824116
-112.895850305,38.5039183928,-311.661804
-112.89583832,38.5039145494,-314.496444
-112.895826123,38.5039106271,-317.315844
-112.895813714,38.5039065709,-320.132196
-112.895801161,38.5039023797,-322.936356
-112.895788569,38.5038980518,-325.740516
-112.89577587,38.5038936157,-328.535532
-112.895763027,38.5038890172,-331.324452
-112.895749867,38.5038843414,-334.098132
-112.895736318,38.5038795072,-336.856572
-112.895722417,38.5038745413,-339.599772
-112.895708127,38.5038694169,-342.321636
-112.895693309,38.5038641637,-345.022164
-112.895678139,38.5038588338,-347.701356
-112.89566283,38.5038535062,-350.3775
-112.895647415,38.5038481254,-353.047548
-112.89563179,38.5038427479,-355.705404
-112.895615849,38.5038373207,-358.351068
-112.895599558,38.5038318716,-360.978444
-112.895582846,38.503826347,-363.584484
-112.895565679,38.5038208297,-366.169188
-112.895548094,38.5038153466,-368.729508
-112.895529917,38.5038099281,-371.262396
-112.895511184,38.5038046559,-373.767852
-112.895492139,38.5037994711,-376.258068
-112.895472816,38.5037943733,-378.736092
-112.895453321,38.5037893606,-381.201924
-112.895433549,38.5037844622,-383.655564
-112.895413502,38.5037797331,-386.093964
-112.895393041,38.503775203,-388.514076
-112.895372236,38.5037708981,-390.918948
-112.895351018,38.5037668197,-393.296388
-112.895329389,38.50376305,-395.652492
-112.895307522,38.5037595588,-397.999452
-112.89528545,38.5037562358,-400.33422
-112.895263241,38.5037530248,-402.659844
-112.895240823,38.5037498721,-404.973276
-112.895218129,38.5037468063,-407.265372
-112.895195085,38.5037437461,-409.530036
-112.895171622,38.5037407202,-411.76422
-112.895147775,38.5037377005,-413.964876
-112.89512351,38.503734715,-416.135052
-112.895098929,38.5037317072,-418.274748
-112.895074208,38.5037286741,-420.402252
-112.895049311,38.503725589,-422.511468
-112.89502417,38.5037225078,-424.602396
-112.894998818,38.50371943,-426.671988
-112.894973187,38.5037163293,-428.717196
-112.894947381,38.5037132314,-430.741068
-112.894921363,38.503710082,-432.743604
-112.8948951,38.5037068816,-434.727852
-112.894868589,38.5037035754,-436.678572
-112.894841832,38.5037001907,-438.60186
-112.894814793,38.5036967283,-440.49162
-112.894787506,38.5036931324,-442.353948
-112.894760007,38.5036894851,-444.191892
-112.894732297,38.5036857588,-446.002404
-112.894704341,38.5036819541,-447.779388
-112.894676173,38.5036780979,-449.531988
-112.894647792,38.5036741352,-451.254108
-112.894619233,38.5036700106,-452.951844
-112.89459053,38.5036657236,-454.625196
-112.894561719,38.5036613559,-456.28026
-112.894532731,38.5036568812,-457.907892
-112.894503601,38.5036523263,-459.514188
-112.8944744,38.5036477177,-461.108292
-112.894445128,38.5036430828,-462.690204
-112.894415822,38.5036384484,-464.269068
-112.894386444,38.5036337877,-465.838788
-112.894356927,38.5036291018,-467.384124
-112.894327199,38.5036244193,-468.902028
-112.894297296,38.5036196847,-470.386404
-112.894267183,38.5036149809,-471.843348
-112.894236965,38.5036102514,-473.278956
-112.894206678,38.5036055504,-474.708468
-112.894176289,38.5036009335,-476.12274
-112.894145691,38.5035964024,-477.503484
-112.894114922,38.5035919564,-478.862892
-112.894084013,38.5035875401,-480.200964
-112.894052965,38.5035831535,-481.514652
-112.894021847,38.5035787406,-482.810052
-112.893990693,38.5035743283,-484.096308
-112.89395947,38.5035698896,-485.376468
-112.893928246,38.5035654509,-486.650532
-112.893896917,38.5035610139,-487.909356
-112.893865484,38.503556606,-489.149892
