MD_m,EASTING,NORTHING,TVD_m
75.56103,1097908.4641301967,13987766.308322914,75.55798200000001
76.582125,1097908.47551624,13987766.306489665,76.57907700000001
77.60322000000001,1097908.4902564567,13987766.297109528,77.60017200000001
78.62431500000001,1097908.5049966732,13987766.28772939,78.62126700000002
79.64541000000001,1097908.5197368897,13987766.278349252,79.64236200000002
80.666505,1097908.5344771063,13987766.268969115,80.663457
81.6876,1097908.5492173228,13987766.259588977,81.684552
82.708695,1097908.5639575394,13987766.25020884,82.705647
83.72979000000001,1097908.578697756,13987766.2408287,83.726742
84.75088500000001,1097908.6019894094,13987766.227783661,84.747837
85.77198000000001,1097908.6261097637,13987766.214383464,85.768932
86.793075,1097908.650230118,13987766.200983267,86.790027
87.81417,1097908.6743504724,13987766.187583072,87.81112200000001
88.835265,1097908.6984708267,13987766.174182875,88.83221700000001
89.85636000000001,1097908.722591181,13987766.160782678,89.85331200000002
90.87745500000001,1097908.7467115354,13987766.147382481,90.87440700000002
91.89855000000001,1097908.7750442913,13987766.134584056,91.89550200000002
92.919645,1097908.8085447834,13987766.122523878,92.91659700000001
93.94074,1097908.8420452755,13987766.110463701,93.93769200000001
94.96183500000001,1097908.8755457678,13987766.098403525,94.95878700000002
95.98293000000001,1097908.90904626,13987766.086343348,95.97988200000002
97.00402500000001,1097908.942546752,13987766.07428317,97.00097700000002
98.02512000000002,1097908.9760472442,13987766.062222993,98.02207200000002
99.046215,1097909.0095477363,13987766.050162816,99.04316700000001
100.06731,1097909.0536236614,13987766.048678072,100.06426200000001
101.08840500000001,1097909.097844311,13987766.047338052,101.08535700000002
102.10950000000001,1097909.1420649607,13987766.045998031,102.10645200000002
103.13059500000001,1097909.1862856103,13987766.04465801,103.12754700000002
104.15169,1097909.23050626,13987766.043317992,104.14864200000001
105.172785,1097909.2747269096,13987766.041977972,105.16973700000001
106.19388000000001,1097909.3189475592,13987766.040637951,106.19083200000001
107.21497500000001,1097909.3624661418,13987766.045616535,107.21192700000002
108.23607000000001,1097909.4053467717,13987766.056336692,108.23302200000002
109.25716500000001,1097909.4482274016,13987766.06705685,109.25411700000002
110.27826,1097909.4911080315,13987766.077777008,110.27521200000001
111.299355,1097909.5339886614,13987766.088497164,111.296307
112.32045000000001,1097909.5768692913,13987766.099217322,112.317402
113.34154500000001,1097909.6197499211,13987766.10993748,113.338497
114.36264000000001,1097909.662055118,13987766.120739842,114.359592
115.38373500000002,1097909.6955556101,13987766.132800018,115.38068700000001
116.40483,1097909.7290561022,13987766.144860197,116.401782
117.425925,1097909.7625565943,13987766.156920373,117.422877
118.44702000000001,1097909.7960570864,13987766.168980552,118.443972
119.46811500000001,1097909.8295575785,13987766.181040728,119.46506700000002
120.48921000000001,1097909.863058071,13987766.193100907,120.48616200000002
121.51030500000002,1097909.896558563,13987766.205161083,121.50725700000002
122.5314,1097909.926047244,13987766.212407088,122.52810744000001
123.55249500000001,1097909.9528476377,13987766.216427146,123.54879400200001
124.57359000000001,1097909.9796480315,13987766.220447205,124.56948056400002
125.59468500000001,1097910.0064484251,13987766.224467264,125.59016712600001
126.61578000000002,1097910.033248819,13987766.228487324,126.610853688
