MD_m,EASTING_m,NORTHING_m,TVD_m
91.89855000000001,334642.5939701431,4263471.117560062,91.89550080639695
92.919645,334642.6029538641,4263471.113318416,92.9165932807071
93.94074,334642.612313601,4263471.109157273,93.93768617186136
94.96183500000001,334642.62208741024,4263471.1051484505,94.95877976694294
95.98293000000001,334642.63231334864,4263471.101363775,95.97987435303507
97.00402500000001,334642.6430294727,4263471.09787507,97.00097021722102
98.02512000000002,334642.65427383914,4263471.094754158,98.022067646584
99.046215,334642.6660845045,4263471.09207286,99.04316692820726
100.06731,334642.6784780391,4263471.089893411,100.0642680734537
101.08840500000001,334642.6913815147,4263471.088238088,101.08536994521587
102.10950000000001,334642.7046987041,4263471.087118772,102.1064711074041
103.13059500000001,334642.71833338,4263471.086547339,103.12757012392815
104.15169,334642.732189315,4263471.086535671,104.14866555869769
