MD_m,EASTING_m,NORTHING_m,TVD_m
1682.511915,334655.01490023185,4263462.5773956645,1682.2073877412854
1683.53301,334655.03202507546,4263462.560272457,1683.2283254364602
1684.5541050000002,334655.0518267444,4263462.54154606,1684.2491447991697
1685.5752000000002,334655.0744234528,4263462.521184189,1685.2698314179736
1686.596295,334655.0999350234,4263462.499169544,1686.2903783972754
1687.6173900000001,334655.12848134193,4263462.475485405,1687.3107791339542
1688.6384850000002,334655.16018229374,4263462.450115052,1688.3310270248878
1689.65958,334655.1951577645,4263462.4230417665,1689.3511154669563
1690.680675,334655.23352763953,4263462.394248826,1690.3710378570386
1691.7017700000001,334655.2754118024,4263462.363719511,1691.3907875908246
1692.7228650000002,334655.3209190571,4263462.331428469,1692.4103516651521
1693.74396,334655.37012121937,4263462.297321521,1693.4296957148435
1694.765055,334655.4230823959,4263462.261338484,1694.4487809222742
1695.7861500000001,334655.4798666931,4263462.223419176,1695.4675684698173
1696.8072450000002,334655.5405382175,4263462.1835034145,1696.4860195398462
1697.82834,334655.6051610758,4263462.141531015,1697.504095314734
1698.849435,334655.67379937426,4263462.097441794,1698.5217569768563
1699.8705300000001,334655.74650780024,4263462.051177481,1699.538968155295
1700.8916250000002,334655.8231989262,4263462.002708613,1700.5557293928812
1701.91272,334655.9036753243,4263461.952028033,1701.5720698048758
1702.933815,334655.98773670197,4263461.899129167,1702.5880192505967
1703.9549100000002,334656.0751827666,4263461.844005438,1703.6036075893628
1704.976005,334656.1658132255,4263461.7866502665,1704.6188646804908
1705.9971,334656.25942778634,4263461.727057081,1705.633820383301
1707.018195,334656.3558261982,4263461.665219285,1706.648504529646
1708.0392900000002,334656.4548327426,4263461.601120852,1707.6629308476306
1709.0603850000002,334656.55633748206,4263461.534720453,1708.6770698844382
1710.08148,334656.6602413899,4263461.465972561,1709.6908850251896
1711.1025750000001,334656.7664454391,4263461.394831654,1710.7043396550082
1712.1236700000002,334656.87485060276,4263461.321252202,1711.7173971590155
1713.144765,334656.9853578542,4263461.245188681,1712.730020922334
1714.16586,334657.0978681666,4263461.166595568,1713.7421743300858
1715.1869550000001,334657.2122932401,4263461.085425819,1714.7538218433294
1716.2080500000002,334657.3286667603,4263461.001615186,1715.764940158161
1717.229145,334657.4470998398,4263460.915088493,1716.7755137366444
1718.25024,334657.56770482654,4263460.825770391,1717.785527164667
1719.2713350000001,334657.6905940678,4263460.73358553,1718.7949650281128
1720.2924300000002,334657.8158799111,4263460.638458559,1719.8038119128676
1721.313525,334657.94367470394,4263460.540314129,1720.812052404815
1722.33462,334658.07409055455,4263460.43907693,1721.8196710614768
1723.3557150000001,334658.20719483745,4263460.334679243,1722.8266471395557
1724.3768100000002,334658.3429579241,4263460.2270697905,1723.8329484011567
1725.397905,334658.4813374846,4263460.116199457,1724.8385411033096
1726.419,334658.6222911894,4263460.002019122,1725.8433915030437
1727.4400950000002,334658.7657767083,4263459.88447967,1726.8474658573891
1728.4611900000002,334658.911751712,4263459.763531982,1727.8507304233744
1729.482285,334659.0601738703,4263459.63912694,1728.853151458029
1730.50338,334659.2109924463,4263459.511231647,1729.854701912355
1731.5244750000002,334659.3640829407,4263459.379955527,1730.855413466738
1732.5455700000002,334659.519282625,4263459.245481772,1731.8553482400762
1733.566665,334659.676428447,4263459.107994194,1732.854568608828
1734.5877600000001,334659.8353573548,4263458.967676607,1733.8531369494524
1735.6088550000002,334659.99590629584,4263458.824712824,1734.8511156384072
