ARC_LENGTH_m,MD_m,EASTING,NORTHING,TVD_m
2820.2643900000003,2218.1189509400824,1098888.0398500906,13987381.230083937,2077.1714134456956
2821.2854850000003,2218.4567156042085,1098889.0256943589,13987381.002608156,2077.3092680968084
2822.3065800000004,2218.794442194843,1098890.0115056033,13987380.77492298,2077.4470115467284
2823.3276750000005,2219.132128456339,1098890.9972884192,13987380.547044616,2077.5846375735073
2824.34877,2219.46977213305,1098891.9830474,13987380.318989243,2077.722139955192
2825.369865,2219.8073709693276,1098892.9687871411,13987380.090773052,2077.8595124698327
2826.39096,2220.144922709525,1098893.9545122357,13987379.86241223,2077.996748895479
2827.4120550000002,2220.4824250979946,1098894.9402272787,13987379.63392296,2078.133843010179
2828.4331500000003,2220.81987587909,1098895.9259368647,13987379.405321447,2078.2707885919835
2829.4542450000004,2221.157272797164,1098896.911645588,13987379.17662387,2078.407579418941
2830.4753400000004,2221.4946135965683,1098897.8973580424,13987378.947846413,2078.5442092691
2831.496435,2221.8318960216566,1098898.8830788229,13987378.719005272,2078.680671920511
2832.51753,2222.169117816781,1098899.8688125233,13987378.490116633,2078.8169611512226
2833.538625,2222.5062767262953,1098900.8545637385,13987378.261196682,2078.953070739284
2834.55972,2222.843370494552,1098901.8403370623,13987378.032261614,2079.088994462745
2835.5808150000003,2223.1803968659024,1098902.8261370894,13987377.803327613,2079.224726099654
2836.6019100000003,2223.5173535847016,1098903.811968414,13987377.57441087,2079.3602594280615
2837.6230050000004,2223.854238395301,1098904.7978356308,13987377.345527573,2079.4955882260156
2838.6441000000004,2224.1910490420532,1098905.7837433338,13987377.11669391,2079.6307062715655
2839.665195,2224.527783269312,1098906.7696961174,13987376.88792607,2079.7656073427615
2840.68629,2224.8644388214293,1098907.755698576,13987376.659240246,2079.9002852176523
2841.707385,2225.201013553027,1098908.7417552278,13987376.430652484,2080.034733994053
2842.72848,2225.537508131662,1098909.7278686455,13987376.202175396,2080.1689559269716
2843.7495750000003,2225.873926200757,1098910.7140393448,13987375.973817948,2080.3029619010827
2844.7706700000003,2226.210271546621,1098911.7002677417,13987375.745588928,2080.4367632154162
2845.7917650000004,2226.5465479555633,1098912.686554253,13987375.517497128,2080.570371169003
2846.8128600000005,2226.8827592138923,1098913.6728992949,13987375.289551333,2080.703797060872
2847.833955,2227.218909107918,1098914.6593032836,13987375.061760332,2080.8370521900542
2848.85505,2227.55500142395,1098915.6457666368,13987374.834132927,2080.97014785558
2849.876145,2227.8910399482957,1098916.6322897691,13987374.60667789,2081.1030953564773
2850.8972400000002,2228.2270284672645,1098917.6188730984,13987374.379404018,2081.235905991777
2851.9183350000003,2228.562970767167,1098918.6055170405,13987374.152320102,2081.36859106051
2852.9394300000004,2228.8988706343102,1098919.5922220114,13987373.92543493,2081.5011618617054
2853.9605250000004,2229.234731855005,1098920.578988429,13987373.69875729,2081.6336296943937
2854.98162,2229.5705582155597,1098921.5658167084,13987373.472295977,2081.766005857605
2856.002715,2229.9063535022838,1098922.5527072668,13987373.246059775,2081.8983016503685
2857.02381,2230.242121501485,1098923.5396605202,13987373.020057473,2082.0305283717144
2858.044905,2230.577865999475,1098924.5266768853,13987372.794297868,2082.1626973206735
2859.0660000000003,2230.91359078256,1098925.5137567783,13987372.56878974,2082.2948197962746
2860.0870950000003,2231.2492996370506,1098926.500900616,13987372.343541883,2082.426907097549
2861.1081900000004,2231.584996349256,1098927.4881088142,13987372.118563084,2082.558970523525
