MD_m,EASTING_m,NORTHING_m,TVD_m,MD_m_plus_offset
71.47665,334642.48898195545,4263471.170939978,71.47369014491058,1708.0545300000003
72.49774500000001,334642.4916322858,4263471.172009076,72.49477777422811,1709.0756250000004
73.51884000000001,334642.4942407004,4263471.172547301,73.51585417528096,1710.0967200000002
74.539935,334642.496911524,4263471.172534834,74.53692481276263,1711.1178150000003
75.56103,334642.4997490815,4263471.171951849,75.55799515136664,1712.1389100000004
76.582125,334642.5028568731,4263471.170779299,76.57907059548988,1713.1600050000002
77.60322000000001,334642.50630086387,4263471.16903335,77.60015380496657,1714.1811000000002
78.62431500000001,334642.51009483036,4263471.1667791335,78.62124362359849,1715.2021950000003
79.64541000000001,334642.51424869354,4263471.164085397,79.6423386132729,1716.2232900000004
80.666505,334642.5187723744,4263471.161020884,80.66343733587709,1717.2443850000002
