channel_GES,east,north,depth,latitude,longitude,elevation,utm_easting,utm_northing,utm_depth
89,46.7233,63.8915,5326.3219,38.50419952097468,-112.89623106041209,26.561984879999727,334655.4277041189,4263463.167135459,-26.561984879999727
90,46.7032,63.6985,5336.3689,38.50419898997753,-112.8962311167385,23.499659279999605,334655.42157764,4263463.108309059,-23.499659279999605
91,46.6278,63.5397,5346.4185,38.50419854974332,-112.89623136873392,20.436541199999965,334655.3985957195,4263463.05990682,-20.436541199999965
92,46.5233,63.399,5356.4695,38.504198157553915,-112.89623172370185,17.372996399999693,334655.366744119,4263463.0170214595,-17.372996399999693
93,46.4087,63.2583,5366.5198,38.50419776479297,-112.89623211395694,14.309664959999736,334655.33181403915,4263462.974136099,-14.309664959999736
94,46.2438,63.1176,5376.5668,38.50419736918567,-112.89623267994926,11.247339359999842,334655.28155251936,4263462.93125074,-11.247339359999842
95,46.079,62.9769,5386.6138,38.50419697358402,-112.89623324559221,8.18501375999972,334655.2313214791,4263462.888365379,-8.18501375999972
96,45.9087,62.8307,5396.6608,38.504196562571494,-112.89623383005488,5.122688159999825,334655.17941403936,4263462.843803618,-5.122688159999825
97,45.7358,62.6819,5406.7078,38.504196144273855,-112.89623442341413,2.060362559999703,334655.1267141192,4263462.798449378,-2.060362559999703
98,45.5723,62.544,5416.7555,38.50419575643285,-112.89623498471678,-1.0021764000002804,334655.07687931904,4263462.756417459,1.0021764000002804
99,45.4476,62.4516,5426.8065,38.50419549570256,-112.89623541373732,-4.065721200000098,334655.03887075896,4263462.728253938,4.065721200000098
100,45.323,62.3591,5436.8575,38.5041952347034,-112.89623584240125,-7.129266000000143,334655.00089267956,4263462.700059938,7.129266000000143
101,45.2608,62.2893,5446.9085,38.50419503955562,-112.89623605468793,-10.192810799999961,334654.9819341188,4263462.678784899,10.192810799999961
102,45.2246,62.229,5456.9595,38.50419487196028,-112.89623617682041,-13.256355600000234,334654.970900359,4263462.66040546,13.256355600000234
103,45.2191,62.1538,5467.0105,38.504194665195925,-112.89623619062077,-16.31990040000028,334654.9692239597,4263462.637484499,16.31990040000028
104,45.3236,62.0251,5477.0615,38.50419431777801,-112.89623581625243,-19.383445200000097,334655.0010755595,4263462.59825674,19.383445200000097
105,45.4282,61.8965,5487.1125,38.50419397064028,-112.8962354415419,-22.44699000000014,334655.0329576398,4263462.55905946,22.44699000000014
106,45.6767,61.6826,5497.1576,38.50419339746399,-112.89623455793344,-25.508736480000152,334655.10870043933,4263462.49386274,25.508736480000152
